title_clean,year,grade
CRAZY IN ALABAMA,1999,B
CRAZY PEOPLE,1990,B
CRAZY RICH ASIANS,2018,A
"CRAZY, STUPID, LOVE.",2011,B+
CRAZY/BEAUTIFUL,2001,B
CREED,2015,A
CREED II,2018,A
CREEPSHOW 2,1987,B-
"CREW, THE",2000,C+
CRIMES AND MISDEMEANORS,1989,A-
CRIMES OF THE HEART,1986,B
CRIMINAL,2016,B-
CRIMSON PEAK,2015,B-
CRIMSON TIDE,1995,A
CRISSCROSS,1992,D+
CRITICAL CONDITION,1987,B
CROCODILE DUNDEE,1986,B+
CROCODILE DUNDEE 2,1988,B+
CROCODILE DUNDEE IN LOS ANGELES,2001,B-
"CROCODILE HUNTER: COLLISION COURSE, THE",2002,B+
"CROODS, THE",2013,A
CROOKLYN,1994,B
CROSSING DELANCEY,1988,A-
CROSSOVER,2006,B
CROSSROADS,2002,B
CROSSROADS,1986,B+
"CRUCIBLE, THE",1996,B+
CRUEL INTENTIONS,1999,B-
"CRUSH, THE",1993,C+
CRY BABY,1990,B-
CRY FREEDOM,1987,A
"CRY IN THE DARK, A",1988,A-
CRY WOLF,2005,B-
"CRYING GAME, THE",1993,B
"CURE FOR WELLNESS, A",2017,C+
"CURE, THE",1995,A
"CURIOUS CASE OF BENJAMIN BUTTON, THE",2008,A-
CURIOUS GEORGE,2006,A-
CURLY SUE,1991,B+
"CURSE OF LA LLORONA, THE",2019,B-
"CURSE OF THE JADE SCORPION, THE",2001,B+
CURSED,2005,C-
CUTTHROAT ISLAND,1995,B-
"CUTTING EDGE, THE",1992,A-
D.O.A.,1988,B-
D2 THE MIGHTY DUCKS,1994,A
D3 THE MIGHTY DUCKS,1996,A-
"DA VINCI CODE, THE",2006,B+
DAD,1989,A
DADDY DAY CAMP,2007,B
DADDY DAY CARE,2003,A-
DADDY'S HOME,2015,B+
DADDY'S HOME 2,2017,A-
DAN IN REAL LIFE,2007,B+
DANCE FLICK,2009,C
DANCE WITH ME,1998,B+
DANCES WITH WOLVES,1990,A+
DANGEROUS LIAISONS,1989,B+
DANGEROUS MINDS,1995,A-
DANTE'S PEAK,1997,A-
DAREDEVIL,2003,B
DARK BLUE,2003,C+
DARK CITY,1998,B-
"DARK HALF, THE",1993,B-
"DARK KNIGHT RISES, THE",2012,A
"DARK KNIGHT, THE",2008,A
DARK PHOENIX,2019,B-
DARK SHADOWS,2012,B-
DARK SKIES,2013,C+
"DARK TOWER, THE",2017,B
DARK WATER,2005,D-
"DARKEST HOUR, THE",2011,C+
"DARKEST MINDS, THE",2018,B
DARKMAN,1990,C+
DARKNESS,2004,F
DARKNESS FALLS,2003,B-
"DARKNESS, THE",2016,C
DATE MOVIE,2006,C+
DATE NIGHT,2010,B
DAVE,1993,A-
DAWN OF THE DEAD,2004,B
DAWN OF THE PLANET OF THE APES,2014,A-
"DAY AFTER TOMORROW, THE",2004,B
"DAY THE EARTH STOOD STILL, THE",2008,C-
DAYBREAKERS,2010,C
DAYLIGHT,1996,B
DAYS OF THUNDER,1990,A
DEAD AGAIN,1991,A-
DEAD BANG,1989,B-
DEAD CALM,1989,B
DEAD MAN DOWN,2013,B-
DEAD MAN ON CAMPUS,1998,C+
DEAD OF WINTER,1987,C
DEAD POETS SOCIETY,1989,A+
"DEAD POOL, THE",1988,B
DEAD PRESIDENTS,1995,B+
DEAD RINGERS,1988,C-
DEAD SILENCE,2007,C+
DEADPOOL,2016,A
DEADPOOL 2,2018,A
DEAR GOD,1996,B
DEAR JOHN,2010,B
DEATH AT A FUNERAL,2010,B+
DEATH BECOMES HER,1992,B
DEATH OF A NATION,2018,A
DEATH RACE,2008,B+
DEATH SENTENCE,2007,C
DEATH TO SMOOCHY,2002,C
DEATH WISH,2018,B+
"DEBT, THE",2011,B
DECEIVED,1991,A-
DECEPTION,2008,C-
DECK THE HALLS,2006,B-
DECONSTRUCTING HARRY,1997,C
DEEP BLUE SEA,1999,B
"DEEP END OF THE OCEAN, THE",1999,C+
DEEP IMPACT,1998,B
DEEP RISING,1998,C+
DEEPWATER HORIZON,2016,A-
DEFENDING YOUR LIFE,1991,B+
"DEFINITELY, MAYBE",2008,B+
DEJA VU,2006,A-
DELIRIOUS,1991,C+
DELIVER US FROM EVA,2003,A-
DELIVER US FROM EVIL,2014,B-
DELIVERY MAN,2013,B+
DELTA FARCE,2007,B+
DELTA FORCE,1986,B+
DEMOLITION MAN,1993,B
DEN OF THIEVES,2018,B+
DENNIS THE MENACE,1993,A-
"DEPARTED, THE",2006,A-
DERAILED,2005,B
"DESCENT, THE",2006,B
DESPERADO,1995,B+
DESPERATE HOURS,1990,C+
DESPERATE MEASURES,1998,B-
DESPICABLE ME,2010,A
DESPICABLE ME 2,2013,A
DESPICABLE ME 3,2017,A-
DETROIT,2017,A-
DETROIT ROCK CITY,1999,B
DEUCE BIGALOW: EUROPEAN GIGOLO,2005,C+
DEUCE BIGALOW: MALE GIGOLO,1999,B
DEUCES WILD,2002,C
DEVIL,2010,C+
DEVIL IN A BLUE DRESS,1995,A-
"DEVIL INSIDE, THE",2012,F
"DEVIL WEARS PRADA, THE",2006,B
"DEVIL'S ADVOCATE, THE",1997,B
DEVIL'S DUE,2014,D+
"DEVIL'S OWN, THE",1997,B-
"DEVIL'S REJECTS, THE",2005,B-
DIABOLIQUE,1996,C+
DIARY OF A MAD BLACK WOMAN,2005,A+
DIARY OF A WIMPY KID,2010,A-
DIARY OF A WIMPY KID: DOG DAYS,2012,A-
DIARY OF A WIMPY KID: RODRICK RULES,2011,A-
DIARY OF A WIMPY KID: THE LONG HAUL,2017,B
DICK,1999,C-
DICK TRACY,1990,B+
DICKIE ROBERTS: FORMER CHILD STAR,2003,B
"DICTATOR, THE",2012,C
DID YOU HEAR ABOUT THE MORGANS?,2009,B-
DIE ANOTHER DAY,2002,A-
DIE HARD,1988,A+
DIE HARD 2,1990,A
DIE HARD 3 WITH A VENGEANCE,1995,A-
DIGGSTOWN,1992,A-
DIGIMON: THE MOVIE,2000,B
"DILEMMA, THE",2011,B
DINNER FOR SCHMUCKS,2010,B
DINOSAUR,2000,A
DIRTY DANCING,1987,A-
DIRTY DANCING: HAVANA NIGHTS,2004,B
DIRTY GRANDPA,2016,B
DIRTY ROTTEN SCOUNDRELS,1988,B+
DIRTY WORK,1998,C+
"DISAPPOINTMENTS ROOM, THE",2016,D
DISASTER MOVIE,2008,F
DISCLOSURE,1994,A-
DISNEY'S THE KID,2000,A-
DISORGANIZED CRIME,1989,B-
"DISTINGUISHED GENTLEMAN, THE",1992,B+
DISTRICT 9,2009,B
DISTURBIA,2007,A-
DISTURBING BEHAVIOR,1998,C-
DIVERGENT,2014,A
"DIVERGENT SERIES: ALLEGIANT, THE",2016,B
"DIVERGENT SERIES: INSURGENT, THE",2015,A-
DIVINE SECRETS OF THE YA-YA SISTERHOOD,2002,A
DJANGO UNCHAINED,2012,A-
DOC HOLLYWOOD,1991,B+
DOCTOR DOLITTLE,1998,A-
DOCTOR STRANGE,2016,A
"DOCTOR, THE",1991,A-
DODGEBALL: A TRUE UNDERDOG STORY,2004,B+
DOG DAYS,2018,A-
"DOG OF FLANDERS, A",1999,A
"DOG'S JOURNEY, A",2019,A
"DOG'S PURPOSE, A",2017,A
"DOG'S WAY HOME, A",2019,A-
DOGMA,1999,B
DOLORES CLAIBORNE,1995,B+
DOLPHIN TALE,2011,A+
DOLPHIN TALE 2,2014,A
DOMESTIC DISTURBANCE,2001,B
DOMINICK AND EUGENE,1988,A-
DOMINO,2005,C+
DON JON,2013,C+
DON JUAN DE MARCO,1995,A-
DON'T BE AFRAID OF THE DARK,2011,C-
DON'T BREATHE,2016,B+
DON'T SAY A WORD,2001,B+
DON'T TELL MOM THE BABYSITTER'S DEAD,1991,A-
DONNIE BRASCO,1997,B+
DOOGAL,2006,B-
DOOM,2005,B-
DOOMSDAY,2008,B-
"DOORS, THE",1991,B+
DOPE,2015,A-
DOUBLE IMPACT,1991,B+
DOUBLE JEOPARDY,1999,B+
DOUBLE TAKE,2001,B+
DOUBLE TEAM,1997,B-
DOUG'S 1ST MOVIE,1999,B+
DOWN AND OUT IN BEVERLY HILLS,1986,B
DOWN IN THE DELTA,1998,A
DOWN PERISCOPE,1996,B+
DOWN TO EARTH,2001,B
DOWN TO YOU,1999,B-
DOWN WITH LOVE,2003,C+
DOWNSIZING,2017,C
DR. DOLITTLE 2,2001,B+
DR. GIGGLES,1992,C+
DR. SEUSS' HORTON HEARS A WHO,2008,A-
DR. SEUSS' THE CAT IN THE HAT,2003,B-
DR. SEUSS' THE LORAX,2012,A
DR. T AND THE WOMEN,2000,F
DRACULA 2000,2000,C+
DRACULA DEAD AND LOVING IT,1995,C
DRACULA UNTOLD,2014,A-
DRAFT DAY,2014,B+
DRAG ME TO HELL,2009,B-
DRAGNET,1987,B-
DRAGON,1993,A
DRAGONBALL EVOLUTION,2009,C+
DRAGONFLY,2002,B+
DRAGONHEART,1996,B+
DREAM HOUSE,2011,B
"DREAM TEAM, THE",1989,B+
DREAMCATCHER,2003,C+
DREAMER: INSPIRED BY A TRUE STORY,2005,A+
DREAMGIRLS,2006,A
DREDD 3D,2012,B
DRILLBIT TAYLOR,2008,B
DRIVE,2011,C-
DRIVE ANGRY,2011,C+
DRIVE ME CRAZY,1999,B-
DRIVEN,2001,B-
DRIVING MISS DAISY,1989,A+
DROP DEAD GORGEOUS,1999,C-
DROP ZONE,1994,B+
DROWNING MONA,2000,C-
DRUMLINE,2002,A+
"DRY WHITE SEASON, A",1989,A+
"DUDE, WHERE'S MY CAR?",2000,B-
DUDLEY DO RIGHT,1999,C+
DUE DATE,2010,B-
DUETS,2000,C+
"DUFF, THE",2015,A-
"DUKES OF HAZZARD, THE",2005,B+
DUMB AND DUMBER,1994,B
DUMB AND DUMBER TO,2014,B-
DUMB AND DUMBERER: WHEN HARRY MET LLOYD,2003,C
DUMBO,2019,A-
DUNGEONS & DRAGONS,2000,C+
DUNKIRK,2017,A-
DUNSTON CHECKS IN,1996,A
DUPLEX,2003,B-
DUPLICITY,2009,C
DUTCH,1991,B+
DYING YOUNG,1991,B+
EAGLE EYE,2008,B+
"EAGLE, THE",2011,C+
EARLY MAN,2018,B
EARTH TO ECHO,2014,A-
EASY A,2010,A-
EAT PRAY LOVE,2010,B
ED,1996,B+
ED TV,1999,B
ED WOOD,1994,B+
EDDIE,1996,A-
EDDIE THE EAGLE,2016,A
EDGE OF DARKNESS,2010,B+
"EDGE OF SEVENTEEN, THE",2016,A-
EDGE OF TOMORROW,2014,B+
"EDGE, THE",1997,B+
EDWARD SCISSORHANDS,1990,A-
EIGHT BELOW,2006,A
EIGHT LEGGED FREAKS,2002,B-
EIGHT MEN OUT,1988,B
ELECTION,1999,B-
ELEKTRA,2005,B
ELF,2003,A-
ELIZABETH,1998,B
ELIZABETH: THE GOLDEN AGE,2007,B
ELIZABETHTOWN,2005,B
ELLA ENCHANTED,2004,A-
ELYSIUM,2013,B
"EMOJI MOVIE, THE",2017,B
"EMPEROR'S CLUB, THE",2002,A-
"EMPEROR'S NEW GROOVE, THE",2000,A
EMPIRE,2002,C+
EMPIRE OF THE SUN,1987,B+
EMPLOYEE OF THE MONTH,2006,B-
ENCHANTED,2007,A-
ENCINO MAN,1992,A
END OF DAYS,1999,B-
END OF WATCH,2012,A-
ENDER'S GAME,2013,B+
ENDLESS LOVE,2014,A-
ENEMIES A LOVE STORY,1989,B+
ENEMY AT THE GATES,2001,B
ENEMY OF THE STATE,1998,A-
"ENGLISH PATIENT, THE",1996,A-
ENOUGH,2002,A-
ENTOURAGE,2015,A-
ENTRAPMENT,1999,B
ENVY,2004,D
EPIC,2013,A
EPIC MOVIE,2007,C-
"EQUALIZER 2, THE",2018,A
"EQUALIZER, THE",2014,A-
ERAGON,2006,B
ERASER,1996,A-
ERIN BROCKOVICH,2000,A
ERNEST GOES TO CAMP,1987,C+
ESCAPE FROM L.A.,1996,B-
ESCAPE FROM PLANET EARTH,2013,B+
ESCAPE PLAN,2013,B+
ESCAPE ROOM,2019,B
ETERNAL SUNSHINE OF THE SPOTLESS MIND,2004,B-
EUROTRIP,2004,B
EVAN ALMIGHTY,2007,A-
EVE OF DESTRUCTION,1991,C
"EVENING STAR, THE",1996,A-
EVENT HORIZON,1997,D+
EVER AFTER,1998,A
EVERY DAY,2018,B+
EVERYBODY'S ALL AMERICAN,1988,B+
EVERYONE SAYS I LOVE YOU,1996,B
EVERYONE'S HERO,2006,A-
"EVERYTHING, EVERYTHING",2017,A-
EVIL DEAD,2013,C+
EVITA,1996,A-
EVOLUTION,2001,B+
EXCESS BAGGAGE,1997,B-
EXECUTIVE DECISION,1996,A-
EXIT WOUNDS,2001,A-
EXODUS: GODS AND KINGS,2014,B-
"EXORCISM OF EMILY ROSE, THE",2005,B
"EXORCIST 3, THE",1990,C
EXORCIST: THE BEGINNING,2004,C
"EXPENDABLES 2, THE",2012,A-
"EXPENDABLES 3, THE",2014,A-
"EXPENDABLES, THE",2010,B+
"EXPRESS, THE",2008,A
EXTRAORDINARY MEASURES,2010,A-
EXTREME MEASURES,1996,B
EXTREME OPS,2002,D+
EXTREME PREJUDICE,1987,C
EXTREMELY LOUD & INCREDIBLY CLOSE,2012,A-
EYE FOR AN EYE,1996,A-
EYE OF THE BEHOLDER,1999,F
"EYE, THE",2008,B-
EYES WIDE SHUT,1999,D-
"FABULOUS BAKER BOYS, THE",1989,B+
FACE OFF,1997,B+
"FACULTY, THE",1998,B
FAHRENHEIT 11/9,2018,A
FAILURE TO LAUNCH,2006,A-
FAIR GAME,1995,C+
FAIRY TALE A TRUE STORY,1997,B+
FAITHFUL,1996,C+
FALLEN,1998,C+
FALLING DOWN,1993,B
FAME,2009,B-
FAMILY BUSINESS,1989,B-
"FAMILY MAN, THE",2000,B+
"FAMILY STONE, THE",2005,B+
"FAMILY THING, A",1996,A-
"FAMILY, THE",2013,C
"FAN, THE",1996,B-
FANTASTIC BEASTS AND WHERE TO FIND THEM,2016,A
FANTASTIC BEASTS: THE CRIMES OF GRINDELWALD,2018,B+
FANTASTIC FOUR,2005,B
FANTASTIC FOUR,2015,C-
FANTASTIC FOUR: RISE OF SILVER SURFER,2007,B
FANTASTIC MR. FOX,2009,B+
FAR AND AWAY,1992,A
FAR FROM HOME,1995,A-
"FAR OFF PLACE, A",1993,A-
FAREWELL TO THE KING,1989,B-
FARGO,1996,B+
FAST & FURIOUS,2009,A-
FAST & FURIOUS 6,2013,A
FAST & FURIOUS PRESENTS: HOBBS & SHAW,2019,A-
"FAST AND THE FURIOUS, THE",2001,B+
"FAST AND THE FURIOUS: TOKYO DRIFT, THE",2006,A-
FAST FIVE,2011,A
FASTER,2010,C+
FAT ALBERT,2004,A-
FAT MAN AND LITTLE BOY,1989,B
FATAL ATTRACTION,1987,A
FATAL BEAUTY,1987,B
FATAL INSTINCT,1993,C
"FATE OF THE FURIOUS, THE",2017,A
FATHER FIGURES,2017,B-
FATHER HOOD,1993,B
FATHER OF THE BRIDE,1991,A-
FATHER OF THE BRIDE 2,1995,A-
FATHERS' DAY,1997,B
"FAULT IN OUR STARS, THE",2014,A
"FAVOR, THE",1994,B-
FEAR,1996,B
FEAR AND LOATHING IN LAS VEGAS,1998,C+
FEAR DOT COM,2002,F
FEARLESS,1993,B+
FEDS,1988,B
FEELING MINNESOTA,1996,C
FEMME FATALE,2002,C-
FENCES,2016,A-
FERDINAND,2017,A
FERNGULLY THE LAST RAINFOREST,1992,A
FERRIS BUELLER'S DAY OFF,1986,A-
FEVER PITCH,2005,A-
"FEW GOOD MEN, A",1992,A+
FIELD OF DREAMS,1989,A
FIERCE CREATURES,1997,B-
"FIFTH ELEMENT, THE",1997,B
"FIFTH ESTATE, THE",2013,B
FIFTY SHADES DARKER,2017,B+
FIFTY SHADES FREED,2018,B+
FIFTY SHADES OF BLACK,2016,C
FIFTY SHADES OF GREY,2015,C+
FIGHT CLUB,1999,B-
"FIGHTER, THE",2010,A-
FIGHTING,2009,B
"FIGHTING TEMPTATIONS, THE",2003,A
FIGHTING WITH MY FAMILY,2019,A-
FINAL ANALYSIS,1992,B
FINAL DESTINATION,2000,B-
FINAL DESTINATION 2,2003,B+
FINAL DESTINATION 3,2006,B+
FINAL DESTINATION 5,2011,B+
"FINAL DESTINATION, THE",2009,C
FINAL FANTASY: THE SPIRITS WITHIN,2001,C+
FINDING DORY,2016,A
FINDING FORRESTER,2000,A+
FINDING NEMO,2003,A+
FINDING NEVERLAND,2004,A
"FINE MESS, A",1986,C
"FINEST HOURS, THE",2016,A-
FIRE BIRDS,1990,B-
FIRE DOWN BELOW,1997,B-
FIRE IN THE SKY,1993,B-
FIRE WITH FIRE,1986,B
FIRED UP,2009,B
FIREHOUSE DOG,2007,B+
FIRESTORM,1998,C-
FIREWALKER,1986,C
FIREWALL,2006,B+
"FIRM, THE",1993,B+
FIRST DAUGHTER,2004,B+
FIRST KID,1996,A-
FIRST KNIGHT,1995,A-
FIRST MAN,2018,B+
"FIRST POWER, THE",1990,B-
"FIRST PURGE, THE",2018,B-
FIRST STRIKE,1997,B+
FIRST SUNDAY,2008,A-
"FIRST WIVES CLUB, THE",1996,A-
"FISH CALLED WANDA, A",1988,A
"FISHER KING, THE",1991,B+
FIST FIGHT,2017,B
FIVE FEET APART,2019,A
"FIVE HEARTBEATS, THE",1991,B+
"FIVE-YEAR ENGAGEMENT, THE",2012,B-
FLAGS OF OUR FATHERS,2006,A-
FLASHBACK,1990,B+
FLATLINERS,1990,B+
FLATLINERS,2017,B-
FLAWLESS,1999,C
FLED,1996,B+
FLESH AND BONE,1993,C
FLETCH LIVES,1989,B
FLICKA,2006,A-
FLIGHT,2012,A-
FLIGHT OF THE INTRUDER,1991,B
FLIGHT OF THE NAVIGATOR,1986,A-
FLIGHT OF THE PHOENIX,2004,B-
FLIGHTPLAN,2005,B+
"FLINTSTONES IN VIVA ROCK VEGAS, THE",2000,B+
"FLINTSTONES, THE",1994,B+
FLIPPER,1996,A-
FLIRTING WITH DISASTER,1996,B+
FLORENCE FOSTER JENKINS,2016,A-
FLOWERS IN THE ATTIC,1987,C-
FLUBBER,1997,B+
FLUKE,1995,B+
FLUSHED AWAY,2006,B+
"FLY 2, THE",1989,B+
FLY AWAY HOME,1996,A
"FLY, THE",1986,B
FLYBOYS,2006,B+
FOCUS,2015,B
"FOG, THE",2005,C-
FOLKS,1992,C+
FOOL'S GOLD,2008,B-
FOOLS RUSH IN,1997,A-
FOOTLOOSE,2011,A
FOR COLORED GIRLS,2010,A
FOR KEEPS,1988,B+
FOR LOVE OF THE GAME,1999,B+
FOR LOVE OR MONEY,1993,B
FOR RICHER OR POORER,1997,B+
FOR THE BOYS,1991,A-
FORBIDDEN KINGDOM,2008,A-
FORCES OF NATURE,1999,B-
"FOREIGNER, THE",2017,A-
"FOREST, THE",2016,C
FOREVER YOUNG,1992,A-
FORGET PARIS,1995,B
FORGETTING SARAH MARSHALL,2008,B
"FORGOTTEN, THE",2004,B-
FORMULA 51,2002,C-
FORREST GUMP,1994,A+
"FORSAKEN, THE",2001,D
"FOUNTAIN, THE",2006,C-
FOUR BROTHERS,2005,B+
FOUR CHRISTMASES,2008,B
"FOUR FEATHERS, THE",2002,B+
FOUR ROOMS,1995,B-
"FOURTH KIND, THE",2009,C+
"FOURTH PROTOCOL, THE",1987,B-
FRACTURE,2007,A-
FRAILTY,2002,B-
FRANKENWEENIE,2012,B+
FRANKIE AND JOHNNY,1991,B+
FRANTIC,1988,B-
FREAKY FRIDAY,2003,A-
FRED CLAUS,2007,B
FREDDY GOT FINGERED,2001,C-
FREDDY VS JASON,2003,B+
FREE BIRDS,2013,A-
FREE STATE OF JONES,2016,A-
FREE WILLY,1993,A
FREE WILLY 2,1995,A-
FREE WILLY 3,1997,B+
FREEDOM WRITERS,2007,A
FREEDOMLAND,2006,C+
FREEJACK,1992,B-
FRENCH KISS,1995,B+
FREQUENCY,2000,A-
FRESH HORSES,1988,D+
"FRESHMAN, THE",1990,B+
FRIDAY AFTER NEXT,2002,B+
FRIDAY NIGHT LIGHTS,2004,B+
FRIDAY THE 13TH,2009,B-
FRIDAY THE 13TH 6,1986,B
FRIDAY THE 13TH 7,1988,B
FRIDAY THE 13TH 8,1989,C+
FRIED GREEN TOMATOES,1991,A
FRIEND REQUEST,2017,C+
FRIENDS WITH BENEFITS,2011,B+
FRIGHT NIGHT,2011,B-
"FRIGHTENERS, THE",1996,B-
FROM DUSK TILL DAWN,1996,B-
FROM HELL,2001,B-
FROM JUSTIN TO KELLY,2003,C+
FROM PARIS WITH LOVE,2010,B
FROM THE HIP,1987,B+
FROZEN,2013,A+
"FUGITIVE, THE",1993,A+
FULL METAL JACKET,1987,B+
"FULL MONTY, THE",1997,A-
FUN SIZE,2012,B
FUN WITH DICK AND JANE,2005,B
FUNNY ABOUT LOVE,1990,B-
FUNNY FARM,1988,C+
FUNNY PEOPLE,2009,B-
FURIOUS 7,2015,A
FURRY VENGEANCE,2010,B+
FURY,2014,A-
FX,1986,B
FX2,1991,B+
G-FORCE,2009,B+
G.I. JANE,1997,A-
G.I. JOE: RETALIATION,2013,A-
G.I. JOE: THE RISE OF COBRA,2009,B+
GALAXY QUEST,1999,B+
"GALLOWS, THE",2015,C
"GAMBLER, THE",2014,C+
GAME NIGHT,2018,B+
"GAME PLAN, THE",2007,A
"GAME, THE",1997,B-
GAMER,2009,C
GANG RELATED,1997,C+
GANGS OF NEW YORK,2002,B
GANGSTER SQUAD,2013,B+
GARDENS OF STONE,1987,B+
GARFIELD,2004,B+
GARFIELD: A TAIL OF TWO KITTIES,2006,B+
GATTACA,1997,B-
"GENERAL'S DAUGHTER, THE",1999,B+
GEORGE A. ROMERO'S LAND OF THE DEAD,2005,B-
GEORGE OF THE JUNGLE,1997,B+
GEORGIA RULE,2007,B-
GEOSTORM,2017,B-
GERONIMO,1993,B
GET CARTER,2000,D+
GET HARD,2015,B
GET HIM TO THE GREEK,2010,B
GET ON THE BUS,1996,A
GET ON UP,2014,A
GET OUT,2017,A-
GET OVER IT,2001,C+
GET RICH OR DIE TRYIN',2005,A-
GET SHORTY,1995,B+
GET SMART,2008,B+
GETAWAY,2013,C+
"GETAWAY, THE",1994,B
GETTING EVEN WITH DAD,1994,B
GHOST,1990,A
"GHOST AND THE DARKNESS, THE",1996,B+
GHOST DAD,1990,A-
GHOST IN THE MACHINE,1993,C
GHOST IN THE SHELL,2017,B
GHOST RIDER,2007,B
GHOST RIDER SPIRIT OF VENGEANCE,2012,C+
GHOST SHIP,2002,C+
GHOST TOWN,2008,B+
GHOSTBUSTERS,2016,B+
GHOSTBUSTERS 2,1989,A-
GHOSTS OF GIRLFRIENDS PAST,2009,B
GHOSTS OF MISSISSIPPI,1996,A-
"GIFT, THE",2015,B
GIGLI,2003,D-
"GIRL IN THE SPIDER'S WEB, THE",2018,B
"GIRL NEXT DOOR, THE",2004,B+
"GIRL ON THE TRAIN, THE",2016,B-
"GIRL WITH THE DRAGON TATTOO, THE",2011,A
"GIRL, INTERRUPTED",1999,B
GIRLS TRIP,2017,A+
"GIVER, THE",2014,B+
GLADIATOR,2000,A
GLADIATOR,1992,A-
GLASS,2019,B
"GLASS HOUSE, THE",2001,B
GLEAMING THE CUBE,1989,A-
GLEE: THE 3D CONCERT MOVIE,2011,A
GLENGARRY GLEN ROSS,1992,B-
"GLIMMER MAN, THE",1996,B+
GLITTER,2001,B-
GLORIA,1999,C+
GLORY,1989,A
GLORY ROAD,2006,A
GNOMEO AND JULIET,2011,B+
GO,1999,B
GOAL! THE DREAM BEGINS,2006,A
GOD'S NOT DEAD 2,2016,A
GOD'S NOT DEAD: A LIGHT IN DARKNESS,2018,A-
"GODFATHER 3, THE",1990,B+
GODS AND GENERALS,2003,B+
GODS OF EGYPT,2016,B-
GODSEND,2004,D+
GODZILLA,1998,B-
GODZILLA,2014,B+
GODZILLA 2000,2000,B-
GODZILLA: KING OF THE MONSTERS,2019,B+
GOING IN STYLE,2017,B+
GOING THE DISTANCE,2010,B
GOLD,2017,B-
"GOLDEN CHILD, THE",1986,B
"GOLDEN COMPASS, THE",2007,B
GOLDENEYE,1995,A-
GONE,2012,C+
GONE FISHIN',1997,C
GONE GIRL,2014,B
GONE IN 60 SECONDS,2000,B+
GOOD BOY,2003,A-
"GOOD DAY TO DIE HARD, A",2013,B+
"GOOD DINOSAUR, THE",2015,A
GOOD LUCK CHUCK,2007,B-
GOOD MORNING VIETNAM,1987,A-
"GOOD MOTHER, THE",1988,B
"GOOD SHEPHERD, THE",2006,B-
"GOOD SON, THE",1993,B
GOOD WILL HUNTING,1997,A
"GOOD YEAR, A",2006,B+
GOODBYE LOVER,1999,C
GOODFELLAS,1990,A-
GOOSEBUMPS,2015,A
GOOSEBUMPS 2: HAUNTED HALLOWEEN,2018,B
GORILLAS IN THE MIST,1988,A
"GOSPEL, THE",2005,A-
GOSSIP,2000,C
GOTHIKA,2003,B
GRAN TORINO,2009,A
GRAND CANYON,1991,B+
GRANDMA'S BOY,2006,B
GRAVEYARD SHIFT,1990,C-
GRAVITY,2013,A-
GREAT BALLS OF FIRE,1989,B+
GREAT EXPECTATIONS,1998,B-
"GREAT GATSBY, THE",2013,B
"GREAT OUTDOORS, THE",1988,B+
"GREAT RAID, THE",2005,A
"GREAT WALL, THE",2017,B
"GREAT WHITE HYPE, THE",1996,C+
"GREATEST GAME EVER PLAYED, THE",2005,A
"GREATEST SHOWMAN, THE",2017,A
GREEDY,1994,B+
GREEN CARD,1990,A
"GREEN HORNET, THE",2011,B+
"GREEN INFERNO, THE",2015,C-
GREEN LANTERN,2011,B
"GREEN MILE, THE",1999,A
GREEN ZONE,2010,B-
GREMLINS 2 THE NEW BATCH,1990,B+
GRETA,2019,C
"GREY, THE",2012,B-
GRIDIRON GANG,2006,A
"GRINCH, THE",2018,A-
"GRINCH, THE",2000,A-
GRINDHOUSE,2007,B+
GRINGO,2018,C+
GROSS ANATOMY,1989,B
GROSSE POINTE BLANK,1997,B
GROUNDHOG DAY,1993,B+
GROWN UPS,2010,B
GROWN UPS 2,2013,B
"GRUDGE 2, THE",2006,C-
GRUDGE MATCH,2013,B+
"GRUDGE, THE",2004,B-
GRUMPIER OLD MEN,1995,A-
GRUMPY OLD MEN,1993,A
"GUARDIAN, THE",1990,C+
"GUARDIAN, THE",2006,A-
GUARDIANS OF THE GALAXY,2014,A
GUARDIANS OF THE GALAXY VOL. 2,2017,A
GUARDING TESS,1994,B+
GUESS WHO,2005,B+
"GUILT TRIP, THE",2012,B-
GUILTY AS SIN,1993,B
GUILTY BY SUSPICION,1991,C+
GULLIVER'S TRAVELS,2010,B-
"GUN IN BETTY LOU'S HANDBAG, THE",1992,B
GUNG HO,1986,B
"GUNMAN, THE",2015,B-
"GUY THING, A",2003,B-
HACKERS,1995,B
HACKSAW RIDGE,2016,A
"HAIL, CAESAR!",2016,C-
HAIRSPRAY,2007,A
HALF PAST DEAD,2002,B
HALL PASS,2011,B-
HALLOWEEN,2007,B-
HALLOWEEN,2018,B+
HALLOWEEN H20,1998,B-
HALLOWEEN: RESURRECTION,2002,B+
HAMBURGER HILL,1987,B
HAMLET,1991,A
HANCOCK,2008,B+
"HAND THAT ROCKS THE CRADLE, THE",1992,A-
HANGING UP,2000,C
"HANGOVER PART II, THE",2011,A-
"HANGOVER PART III, THE",2013,B
"HANGOVER, THE",2009,A
HANNA,2011,C+
HANNAH AND HER SISTERS,1986,A
HANNAH MONTANA: THE MOVIE,2009,A
HANNIBAL,2001,C+
HANNIBAL RISING,2007,B-
HANSEL AND GRETEL: WITCH HUNTERS,2013,B
"HAPPENING, THE",2008,D
HAPPILY N'EVER AFTER,2007,C
HAPPY DEATH DAY,2017,B
HAPPY DEATH DAY 2U,2019,B
